label
Lepidoptera
unclassified Lepidoptera
Glossata
environmental samples <Lepidoptera>
Zeugloptera
Aglossata
Heterobathmiina
Lepitoptera incertae sedis
Lepidoptera sp. BOLD:AAE3971
Lepidoptera sp. BOLD:AAE4088
Lepidoptera sp. BOLD:AAE4460
Lepidoptera sp. BOLD:AAE4770
Lepidoptera sp. BOLD:AAE4885
Lepidoptera sp. BOLD:AAE5908
Lepidoptera sp. BOLD:AAE6365
Lepidoptera sp. BOLD:AAE6902
Lepidoptera sp. BOLD:AAE6933
Lepidoptera sp. BOLD:AAE7345
Lepidoptera sp. BOLD:AAE7380
Lepidoptera sp. BOLD:AAE7603
Lepidoptera sp. BOLD:AAE7643
Lepidoptera sp. BOLD:AAE7747
Lepidoptera sp. BOLD:AAE9058
Lepidoptera sp. BOLD:AAE9323
Lepidoptera sp. BOLD:AAE9384
Lepidoptera sp. BOLD:AAE9608
Lepidoptera sp. BOLD:AAE9916
Lepidoptera sp. BOLD:AAF0163
Lepidoptera sp. BOLD:AAF0609
Lepidoptera sp. BOLD:AAF1104
Lepidoptera sp. BOLD:AAF1354
Lepidoptera sp. BOLD:AAF2426
Lepidoptera sp. BOLD:AAF3022
Lepidoptera sp. BOLD:AAF3045
Lepidoptera sp. BOLD:AAF3262
Lepidoptera sp. BOLD:AAF4355
Lepidoptera sp. BOLD:AAF4523
Lepidoptera sp. BOLD:AAF4637
Lepidoptera sp. BOLD:AAF4741
Lepidoptera sp. BOLD:AAF4927
Lepidoptera sp. BOLD:AAF4985
Lepidoptera sp. BOLD:AAF5353
Lepidoptera sp. BOLD:AAF6144
Lepidoptera sp. BOLD:AAF6858
Lepidoptera sp. BOLD:AAF8327
Lepidoptera sp. BOLD:AAF9457
Lepidoptera sp. BOLD:AAG0546
Lepidoptera sp. BOLD:AAG2991
Lepidoptera sp. BOLD:AAG5368
Lepidoptera sp. BOLD:AAG5369
Lepidoptera sp. BOLD:AAG5816
Lepidoptera sp. BOLD:AAG5843
Lepidoptera sp. BOLD:AAG5846
Lepidoptera sp. BOLD:AAG5873
Lepidoptera sp. BOLD:AAG5927
Lepidoptera sp. BOLD:AAG5934
Lepidoptera sp. BOLD:AAG6233
Lepidoptera sp. BOLD:AAG6235
Lepidoptera sp. BOLD:AAH0630
Lepidoptera sp. BOLD:AAH0658
Lepidoptera sp. BOLD:AAH0675
Lepidoptera sp. BOLD:AAH0681
Lepidoptera sp. BOLD:AAH2558
Lepidoptera sp. BOLD:AAH2564
Lepidoptera sp. BOLD:AAH2573
Lepidoptera sp. BOLD:AAH4474
Lepidoptera sp. BOLD:AAH4606
Lepidoptera sp. BOLD:AAH4625
Lepidoptera sp. BOLD:AAH4702
Lepidoptera sp. BOLD:AAH6716
Lepidoptera sp. BOLD:AAH7670
Lepidoptera sp. BOLD:AAH8576
Lepidoptera sp. BOLD:AAH9414
Lepidoptera sp. BOLD:AAH9895
Lepidoptera sp. BOLD:AAI0380
Lepidoptera sp. BOLD:AAI1360
Lepidoptera sp. BOLD:AAI3454
Lepidoptera sp. BOLD:AAI3806
Lepidoptera sp. BOLD:AAI4030
Lepidoptera sp. BOLD:AAI4922
Lepidoptera sp. BOLD:AAI4958
Lepidoptera sp. BOLD:AAI5385
Lepidoptera sp. BOLD:AAI5439
Lepidoptera sp. BOLD:AAI6079
Lepidoptera sp. BOLD:AAI6209
Lepidoptera sp. BOLD:AAI6442
